"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/run/RunEdit.js", "JavaScript", 0, 0, 0, 125, 0, 0, 0, 6, 131
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/run/RunNav.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 3, 20
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/run/RunRoute.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 4, 29
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/run/Runs.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 4, 36
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 2, 14
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/index.js", "JavaScript", 0, 0, 0, 17, 0, 0, 3, 3, 23
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/redux/actions/analyticsActions.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/redux/actions/authActions.js", "JavaScript", 0, 0, 0, 164, 0, 0, 1, 11, 176
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/redux/actions/runActions.js", "JavaScript", 0, 0, 0, 120, 0, 0, 0, 6, 126
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/redux/constants.js", "JavaScript", 0, 0, 0, 20, 0, 0, 3, 3, 26
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/redux/reducers/analyticsReducer.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 3, 17
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/redux/reducers/authReducer.js", "JavaScript", 0, 0, 0, 83, 0, 0, 0, 3, 86
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/redux/reducers/rootReducer.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 2, 11
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/redux/reducers/runReducer.js", "JavaScript", 0, 0, 0, 56, 0, 0, 0, 3, 59
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/redux/store.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 3, 12
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/serviceWorker.js", "JavaScript", 0, 0, 0, 98, 0, 0, 31, 13, 142
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/services/userService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 4, 1, 6
"Total", "-", 15492, 37, 46, 2562, 500, 30, 60, 266, 18993
